FIRE CYLINDERS;INDUSTRIA MANUFACTURERA;;;Pje. Avellino Nogales N� 361;cala cala ;4668070;79963099;;
FOODS COMPANY;AGRICULTURA, GANADER�A, CAZA, PESCA Y SILVICULTURA;Cristina Duran;;CALLE LIBERTADOR BOLIVAR N� 500 ZONA: SUMUMPAYA SUD;sumumpaya sud;4437650;70345102;sistemacalidad@foodscompany.com - gestioncalidad@foodscompany.com;
GLOBAL AIR AEROSERVICE;;;;;;;;;
GLOBAL JET;;;;;;;;;
GOBIERNO AUTONOMO MUNICIPAL DE COCHABAMBA ? DEPARTAMENTO GESTION DE CALIDAD;;Danitza Caballero;;Palzuela Colon;central;4258030                        int. 4320;;;
GOLDEN SEEDS;;Rodrigo Ure�a;;;;;;rodrigou@gdseeds.com;
HANGAR 13;INDUSTRIA MANUFACTURERA;Paola Saucedo;;;;3522342;;saucedogutierrez@hotmail.com;
HAROLD TORREZ;;;;;;;;;
HELIAMERICA;TRANSPORTE Y ALMACENAMIENTO;Ignacio Ruiz;;Hangar 88 Aeropuerto El Trompillo Calle Placido Molina ;;3559040;;;http://www.heliamerica.com/   
HELIMAR;INDUSTRIA MANUFACTURERA;Ruben J. Ramirez Magne;;;;3537979;72623326;ruben.ramirez@gsheli.com;
HIDRAULIC - TEST;;Mario Vargas;;CALLE URU N� 828 ESQUINA TADEO HAENKE Y KILLAGAS, ZONA DE VILLA GRANADO;villa granado;4427887;72225838;hidraulic.mario@gmail.com;
HIDROCIL;CENTRO DE RECALIFICACION DE CILINDROS A GNV;Bismark Gonzales;;Regimiento Coronel Marzana N� 1438 zona la Chimba;chimba;4424349;75016465 - 70356305;gncgonzales@hotmail.com;
I.S.T.;;Reynaldo Sanchez                                                                Ing. Erick Richter;;;;3888599;77630029 (Erick R.);reynaldo.sanchez@istltda.com;http://www.istltda.com/    
IBEND;;;;;;;;;
ICE INGENIEROS;CONSTRUCCI�N;Dr. Mario Lacaze Responsable de Control de Calidad  Ing. Erick Mu�oz Responsable de Adquisiciones;;Av. Libertador Bolivar N� 1842 plazuela de Cala Cala, al lado de la Vitalicia.;cala cala ;4455000;;mlacaze@iceingenieros.com - emunoz@iceingenieros.com;
IMBA S.A;INDUSTRIA MANUFACTURERA;Nestor Claros;;Av. Segunda entre C. Alexander Fleming y A. Arquimedes s/n Zona Villa Busch;villa bush sud ;4434500 interno 228;;jorge_cardenas@imba.com.bo;
INDATROP;AGRICULTURA, GANADER�A, CAZA, PESCA Y SILVICULTURA; Ing. Lizeth Orosco;;Av, Villaz�n Km, 11 - 2 No,2406 - Edif, Multicentro ;urbanizacion lab;4124578;72297536;lorosco@indatrop.com;
INDUSTRIAS LUJAN S.R.L.;INDUSTRIA MANUFACTURERA;Ing.Seiko Lawford;;km 5 1/2 blanco galindo co�a co�a;co�a co�a;4432162;71790630;seikolawford@gruporavi.com;
INDUSTRIAS RAVI S.A.;INDUSTRIA MANUFACTURERA;Ing.Reynaldo Arze;;Av. Arquimedes co�a co�a  km. 4.5 N�4300;co�a co�a;4304480;71607191;tallerjerarca@gmail.com;
INESCO S.A.;;;;;;;;;
S/N;;;;;;;;;
INGENIERIA Y CONSULTORIA EYC;;;;;;;;;
INPEBOL S.R.L;EXPLOTACI�N DE MINAS Y CANTERAS;Ing. Gustavo Lopez;;Km 10 carretera al norte entrando 200 metros al lado oeste;;3228044�;;administracion@inpebol.com;http://www.inpebol.com/web1.0/                                                                               Inpebol Inspecciones
INPROCO S.R.L.;;;;;;;;;
JOSE LUIS ROCHA;;;;;;;;;
KEMSI;;;;;;;;;
LA PAPELERA S.A.;INDUSTRIA MANUFACTURERA;Ing. Jaime Cabrera;;av cap, victor ustariz km 8 quillacollo;sumumpaya sud;4268741 4268756;79794350 71440795;jcabrera@papelera.com;
LINEA AEREA ECOJET;TRANSPORTE Y ALMACENAMIENTO;Ing. Victor Claure;;Plazuela Constituci�n No. 0879 esquina16 de Julio y Chuquisaca;central;;72154516;vclaure@ecojet.bo;
LOSANTY (Gamboa);INDUSTRIA MANUFACTURERA;Thalia Sejas;;Calle Sumaj �usta N� S/n Zona: Condebamba     (Av. Circunvalacion);;4308917;70731261;indialm@hotmail.com;
MANO A MANO APOYO AEREO;;;;Oficina N� 291 Junin Esq. Ecuador �5to piso;central;4520297 4737500 4732819;;;https://manoamano.org/our-counterpart-organizations/mano-a-mano-apoyo-aereo/
MENTOR SRL;;;;4to Anillo N� 3880 y Av. Roca y Coronado;;355-9618�;;;http://www.mentorenergy.com/                                                                                                     Mentor Srl
METALMECANICA JAMTOR;INDUSTRIA MANUFACTURERA;Sr. Harold Torrez;;Av. Blanco Galindo km. 4.5  100mts al sud calle Cesar Adriazola N�275;seminario;4246707;70767373-79761051;haroldtorrez@jamtor.net - harold2011bo@gmail.com;
MINERA SAN CRISTOBAL ;EXPLOTACI�N DE MINAS Y CANTERAS;Fernando Barba;;Campamento Toldos Provincia Nor L�pez  Oficina Potosi:Calle Tarija No 12 ? ex Banco Bisa, planta alta (entre Chuquisaca y Nogales);;2824507;70015060-67003882;fernando.barba@minerasancristobal.com;http://www.minerasancristobal.com/v3/es/                                   Minera San Crist�bal S.A.
MISION NUEVAS TRIBUS;;Esteban hess-Felipe Lattin;;Hualparrimachi N� 1860;queru queru;4011884-4309353;77954058;dwayne_hess@ntm.org;
MITBOL S.R.L.;;;;Calle J. Napoleon Medrano N� 84, Santa Anita;;�4795068�;;;
MP;;;;;;;;;
NOSCO S.R.L.;INDUSTRIA MANUFACTURERA;Karina Ajuacho;;CALLE FROILAN CECILIO JORDAN # 122 BARRIO FE Y ALEGRIA ZONA: CENTRAL;;4379000;70373781;controlcalidad@organicadelsur.com;http://noscosrl.com/                                                                                                                                             NOSCO SRL
NUTREX S.R.L.;IMPORTACION DE PRODUCTOS E INSUMOS DE US O VETERINARIO;Anabel Flores;; Calle Cesar Adriazola Rivera N� 100 Zona: Co�a Co�a Sud;co�a co�a sud;4440535;68583702;anabel@nutrex.com.bo;
ORGANICA DEL SUR;INDUSTRIA MANUFACTURERA;Ing. Jonathan Gutierrez;;km 8.5 Av. Cap. Ustariz Zona Sumumpaya Sud c. Libertador Bol�var;sumunpaya sud;4441442;76429641 76920204;produccion@papelesycartonesmoda.com   ventas@papelesycartonesmoda.com;
PAPELES Y CARTONES MODA LTDA;INDUSTRIA MANUFACTURERA;Ing. Marcela Vera;;Av. Blanco Balindo Km 5.5;co�a co�a;4780000-4433270;68581200;olivia.banado@plastiforte.com - produccion.calidad@plastiforte.com;
PLANTA RECALIFICADORA DE CILINDROS GALILEO;MECANICA, CONVERSION Y RECALIFICACION DE CILINDROS A G.N.V.;Pablo Candia;;Avenida Del Cabildo N� 2793 Zona: Aeropuerto Sud;Aeropuerto Sud;4731251;70723791;g.n.v.galileo_@hotmail.com;
PLASTIFORTE;INDUSTRIA MANUFACTURERA;Daniel Lazcano                              ;;AV.Blanco Galindo km 3.8, ESQUINA ARTUR FONSNANKI;chimba;4765956-4236836-4236837;70380273;calidad1.cbb@plaxburg.com - recepcion.cbb@plaxburg.com;
PLAXBURG;INDUSTRIA MANUFACTURERA;;;Av.Petrolera Km. 4;;4717412;;probal@supernet.com.bo;
PREFABRICADOS TRIGO RIVERO;;;;;;;;;
PROBAL;INDUSTRIA MANUFACTURERA;Ing. Sergio Orellana Responsable de Calidad;;Av. Max Fernandez final- Km. 5 av. Villazon;amancayas sacaba;4717236 4717565;;ingsergioob@gmail.com;
PROMAQ I+D;;Sr. Jose Mu�oz;;Desconocido;;4379951;72728018;Desconocido;
PROPLASTIC SRL;INDUSTRIA MANUFACTURERA;;;Av. Villazon Km 2.5 por el rio ir por el camino empedrado 200 mts AL NORTE puerta ploma metalica junto a 3 containers;pacata sacaba;3535509 3559130;;;
RECTIFICADORA SANABRIA;;;;;;;;;
RIO GRANDE;INDUSTRIA MANUFACTURERA;Ing. Rene Torrez;;4to anillo entre Pirai y radial 17 1/2 Nro 80;;4378441 4378442;;rtorres@soboce.com;http://rionuevosrl.com/ 
S.A.E.;;;;;;4294741 4294742 ;71727912;;
SAET;TRANSPORTE Y ALMACENAMIENTO;;;AEROPUERTO JORGE HENRICH - HANGAR # 7;;;;;
SKYPLUS;;;;;;;;;
"SMA""2""";;;;;;4568011  2642061;;;
S/N;;;;;;;;;
SPIECAPAG S.A.;;;;;;;;;
T.A.B;;Javier Navajas;;;;;;;
TALLER DE RECALIFICACION TORREZ ARENAS;;;;;;;;;
TALLER DE RECALIFICACION TRANS SACABA S.A.;;;;;;;;;
TALLER JERARCA;INDUSTRIA MANUFACTURERA;Ing. Gonzalo Lopez;;Calle Niceto Rodriguez s/n  Zona: Norte;cala cala ;4351515 interno 2217;78350224;gonzalo.lopez-p@unilever.com ;
TALLER TIQUIPAYA FLOR;;;;;;;;;
TAMPO;;;;;;;;;
TECNOPOR S.A.;;Ing. Gustavo Cardozo;;Mexico 123 casi Ayacucho, Cochabamba;central;4372752 4118703;75924009;gcardozo@tecnopor.net;
TORRES ARENAS;;;;;;;;;
TOVARLEM;CONSTRUCCI�N;;;C/angelica Ascui N� 369 Zona: Mayorazgo;mayorazgo;4471337;;tovarlemltda@gmail.com;
U.R.S Corporation Bolivia S.A.;SERVICIOS PROFESIONALES Y T�CNICOS;Raquel Antezana;;;;;;;
UNILEVER ANDINA BOLIVIA S.A;INDUSTRIA MANUFACTURERA;Ing. Gonzalo Lopez;;Av.Blanco Galindo km 10.4 ;quimbol;4351515 interno 2217;78350224;gonzalo.lopez-p@unilever.com ;
YPFB TRANSPORTE;TRANSPORTE Y ALMACENAMIENTO;Ing.Miguel Paredes;;AV. HUMBERTO ASSIN ESQ. AV. UNICA S/N REFINER�A VALLE HERMOSO;valle hermoso;4662408-4662409-4662410;72514915;aparedes@ypfb.gob.bo;http://www.ypfbtransporte.com/SitePages/Inicio.aspx
YPFB TRANSPORTE C-1;;;;;;;;;
ZUNA;;;;;;;;;
SOBOCE S.A.;;;;;;;;;
ING. MARCO A. CAMACHO M. CERTIFIED ASSOCIATE WELDING INSPECTOR;;;;;;;;;
PCB AMBIENTAL;;;;;;;;;
HORIZONTAL DE AVIACI�N BOLIVIA;;;;;;;;;
